TANK	NUTS	TP	TN	SRP	TIN	CHLA	ZP
34	low	20.31	720	4.02	131.62	1.52	1780.8
14	low	25.55	750	1.56	141.10	4.00	409.0
23	low	14.22	610	4.97	107.70	0.61	1201.4
16	low	39.11	759.9999995	2.89	71.28	0.53	3359.8
21	low	20.09	570.0000004	5.11	80.40	1.44	733.2
5	low	15.75	680.0000005	4.68	135.77	1.19	977.3
25	low	19.55	664.9999995	5.00	79.40	0.37	1099.9
27	low	16.19	660	0.10	100.91	0.72	2271.4
30	med	29.46	1769.999999	7.90	1329.26	6.93	3163.3
28	med	37.88	2590	3.92	1163.64	0.94	1874.7
35	med	30.26	2109.999999	4.45	1850.18	1.36	4380.2
36	med	36.94	2059.999998	5.14	249.93	38.38	2405.1
12	med	34.73	1370	4.69	420.01	15.99	1707.9
22	med	26.00	2109.999999	5.35	1466.70	0.95	4099.9
18	med	28.50	1760.000001	7.15	1351.83	1.36	5443.0
15	med	35.33	1359.999999	5.96	1036.27	2.13	4267.7
17	high	41.56	4130.000003	20.34	3421.43	1.44	8208.4
10	high	53.50	4530	33.57	4042.10	0.93	4227.3
29	high	99.07	4409.999995	11.57	3307.05	0.61	6238.1
6	high	128.04	4750.000004	26.27	3686.17	1.27	8571.3
24	high	33.47	3410	9.32	2791.52	1.11	1424.0
19	high	52.41	3710.000003	3.23	2890.73	17.59	2971.4
4	high	42.21	3689.999999	12.71	3041.75	1.08	8150.9
11	high	77.65	4380	21.86	3041.75	1.08	8386.8
							
